Title,Location,Shuttle shop,Neighbourhood
Custom Contract Furnishings,215 S. Main St. ,Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Custom Crafted Silhouettes,"Suites At Market Square - M-7002, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Cyan Design,"IHFC - C258, Commerce, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
D & W Silks,"IHFC - D302, Design Center, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
D.V. Kap Home,"IHFC - D335, Design Center, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Dale Tiffany, Inc.","Suites At Market Square - M-6044, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Daleno, Inc.","IHFC - H424, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Dalyn Rug Company,"IHFC - H343, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Dan Form A/S,"812 Millis, Floor 1",Shuttle Stop: 0 (Go Anywhere Shuttle),
Daniel Design Studio,"Suites At Market Square - G-7001, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Daniel's Amish Collection,"Centers of High Point: Hamilton - 121, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Danny’s Fine Porcelain,"IHFC - H443, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Darrell Dean Antiques & Decorative Arts,"Market Square - G-42, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Dash & Albert,"IHFC - H220, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
David Bell Antiques,"Market Square - G-8, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
David Meelheim Designs,"Market Square - G-69, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
"David Michael, Inc.",521 N. Hamilton St.,Shuttle Stop: 21 (Red Line),Neighborhood: Hamilton Wrenn
David Rothschild Co Inc,"Market Square Tower - 732, Floor 7",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
D'Avila Home,"Atrium on Main - 314, Floor 3",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Davis & Davis,"200 N. Hamilton St. - S Ct 104, Floor 1",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Davis Direct,Holland House - 449 S. Wrenn St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Davon's Antiques,"Market Square - G-33B, G-34A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Dawn Sweitzer Studio,515 S. Hamilton St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
De Leo Textiles,"Market Square Tower - 2005, Floor 2",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
De Tai Furniture,"Plaza Suites - 1-531, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
"Dead Artists Gallery, The","Market Square - G-31A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Debra Steidel,"Suites At Market Square - M-5024, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
DeCasa Marble,"IHFC - D519, Design Center, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Decca Home/Bolier,"2009 Fulton Place, High Point 27263",Shuttle Stop: 0 (Go Anywhere Shuttle),
Decor Fifty Five,"IHFC - D242, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Decor-Rest USA Inc,208 Jacobs Place,Shuttle Stop: 5 (Green Line),Neighborhood: Market Square & Elm
Decorum Home,"Suites At Market Square - G-6033, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
DellaRobbia Inc.,"IHFC - D708, Design Center, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
DeLoach,"Market Square - G-55A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
DelRay & Associates Antiques,"Market Square - G-44, G-46, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Delta Childrens Products,"Centers of High Point: Centennial - 014, Lower Level",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Delta Furniture Mfg,"Centers of High Point: Hamilton - 219, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
DeLuxe,"Chelsea On Green - A403, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
DeLuxe NYC,"Market Square - G-33A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Denise McGaha for Design Legacy,"Design Legacy - 126 Virginia Place, Floor 1",Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
Deregozu Textiles,"Suites At Market Square - G-3026, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Design Evolution Furniture, Inc.","220 Elm - 316, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Design Legacy by Kelly O'Neal,"Design Legacy - 126 Virginia Place, Floor 1",Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
Designmaster Furniture Inc,201 S. Main St. ,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
DesignWorks Furniture,"Market On Green - 304, Floor 3",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
DEVO Outdoor,"220 Elm - 316, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Di Molini,300 Oak & Russell St.,Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
Diamond Sofa,209 E. Russell St.,Shuttle Stop: 10 (Green Line),Neighborhood: Centennial Wrenn South
Dick Idol by Woodbrook Designs,"812 Millis, Floor 3",Shuttle Stop: 0 (Go Anywhere Shuttle),
Dienne Salotti,"IHFC - D501, Design Center, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Digio Leather,"Furniture Plaza - 512, Floor 5",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Dinec,212 N. Wrenn St.,Shuttle Stop: 25 (Red Line),Neighborhood: Hamilton Wrenn
DinnerpARTy Antiques,"214 Modern Vintage - 314 W. Russell Ave., Floor 1",Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
DIRA,"Suites At Market Square - G-6020, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Directional,"525 N. Wrenn St., Floor1",Shuttle Stop: 22 (Red Line),Neighborhood: Hamilton Wrenn
Discovery World Furniture,"Atrium on Main - T-102, Terrace",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
DispatchTrack,"Plaza Suites - 1-527 #21, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Distant Echo,"Suites At Market Square - G-7059, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Distinctive Chesterfields,2228 Shore St. HP 27263,Shuttle Stop: 0 (Go Anywhere Shuttle),
District Eight,"IHFC - IH212, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Ditre Italia,"Casa Italia - 130 W. Commerce Ave., Floor 1",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Djem Unique Ideas,"Market Square - G-64, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Dolce Sofa S.R.L,"Market On Green - 203, Floor 2",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Dome Deco,"IHFC - IH310, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Don Fields & Craig Ringstad Antiques,"Market Square - G-52, G-53 , Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Donco Trading Company/Donco Kids,"Crown Mark Plaza - 200 E. Green Dr., 201, Floor 2",Shuttle Stop: 3 (Green Line),Neighborhood: Centennial Wrenn South
"Dongguan Babycare Products Co., Ltd.    ","Suites At Market Square - Global Sourcing Pavilion, T-628, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Dorell Fabrics,"Resource Center - 329 S. Wrenn St., Floor 1",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Dorya,"330 N. Hamilton St. - 107, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Douglas,"Centers of High Point: Hamilton - 239, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Dovetail Furniture & Designs,"Market Square - 142, 243, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Dowel Furniture,"IHFC - IH210, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Down, Inc.","Suites At Market Square - G-3019, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
DownTown Company,"IHFC - W254, Wrenn, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Duraflame by Twin Star Home,"Market On Green - 602, Floor 6",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Durham Furniture Inc.,"IHFC - G1082, Green, Floor 10",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Dutchbone,"IHFC - IH206, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Duvall & Co.,"Suites At Market Square - G-7058, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
E. Lawrence Ltd.,"Suites At Market Square - G-1010, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
E. Lawrence Ltd.,"IHFC - D319, Design Center, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
E.C.I. of Philadelphia,"Showrooms at Centennial and Green - 300 S. Centennial St. , Floor 1",Shuttle Stop: 2 (Green Line),Neighborhood: Centennial Wrenn South
E.M. Soberon by Soberon Studio,"IHFC - IH106, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
East Enterprises Inc.,"Showplace - 2325, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Eastern Accents,"Suites At Market Square - G-1000, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
EBELLO Home,Elm Street Pavilion - 225 S. Elm St.,Shuttle Stop: 4 (Green Line),Neighborhood: Downtown Main
ED Ellen Degeneres,116 S. Lindsay St.,Shuttle Stop: 6 (Green Line),Neighborhood: Market Square & Elm
ED Ellen DeGeneres Bath,"Furniture Plaza - 306, Floor 3",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Edgewood Furniture,"Centers of High Point: Hamilton - 112, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Egoitaliano,"220 Elm - 318, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Eichholtz,129 S. Hamilton St.,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Eikones Studio,"Suites At Market Square - G-6045, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Eilersen,"220 Elm - 326, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
EJ Victor,116 S. Lindsay St.,Shuttle Stop: 6 (Green Line),Neighborhood: Market Square & Elm
Eleanor Rigby Home,Hamilton Place - 121 N. Hamilton St.,Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Elegant Earth,301 W. English Rd.,Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
Elegant Lighting,118 W. Commerce Ave.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Elegant Motion by Master Motion,"443 S. Main St., Studio 54B",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Elegant Motion by Master Motion,440 S. Wrenn St.,Shuttle Stop: 10 (Green Line),Neighborhood: Downtown Main
Elements International,411 S. Main St.,Shuttle Stop: 10 (Green Line),Neighborhood: Downtown Main
Eliko Antique and Decorative Rugs,108 S. Lindsay St. ,Shuttle Stop: 6 (Green Line),Neighborhood: Market Square & Elm
Elite Home Fashions,"Suites At Market Square - G-2019, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Elizabeth Gray,"Market Square - G-26, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Elizabeth Stuart,"Chelsea On Green - C400/C401, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Elk Home,"IHFC - C403, Commerce, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Ella Home Inc.,"IHFC - IH405, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Ellen Ash Collection,"Design Legacy - 126 Virginia Place, Floor 1",Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
ELOQUENCE,110 N. Wrenn St.,Shuttle Stop: 16 (Red Line),Neighborhood: Commerce Concourse
Elran Furniture,"Furniture Plaza - 505, Floor 5",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Emdee,"IHFC - IH109, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Emerald Home Furnishings,Holland House - 449 S. Wrenn St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Emissary,"IHFC - D424, Design Center, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Encore,"Commerce & Design - 3D, Floor 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
England Furniture,"Plaza Suites - 100, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Enouvation,"Plaza Suites - 1-727, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
ENZA Home,"IHFC - C565, Commerce, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
EQ3,"220 Elm - 400, Level 4",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Equitable Trading ,"Centers of High Point: Hamilton - 233, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Ernst Gruler by Studio A Home,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Erwin-Lambeth,"525 N. Wrenn St., Floor1",Shuttle Stop: 22 (Red Line),Neighborhood: Hamilton Wrenn
Esquire Advertising,"Plaza Suites - 1-527 #20, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Essentials For Living/Orient Express Furniture,"Showplace - 3148, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Estro Milano,"IHFC - D704, Design Center, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Ethnicraft,"IHFC - IH501, IH502, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
etuHOME,"IHFC - IH402, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
EurDecor,"Suites At Market Square - G-6017, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Euro Style,"Showplace - 3200, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Europatex, Inc.","Market Square Tower - 412, Floor 4",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Exquisite Rugs,"IHFC - H204, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
F.J. Kashanian Rugs,"Suites At Market Square - G-2034, G-2037, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Fabelli Italia,"IHFC - H504, Hamilton, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Fabrica De Muebles Torres, SL","IHFC - M535, Main, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Fabricut,"Market Square Tower - 403, Floor 4",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Fabulous Furs,"Suites At Market Square - M-5037, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Factory Direct Wholesale,"Furniture Plaza - 600, Floor 6",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Fairfield Chair Company,"200 N. Hamilton St. - N Ct 100, Floor 1",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Fangio,"IHFC - W251, Wrenn, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Fashion and Collectibles,"Market Square - G-22, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Fatboy USA,"Casa Italia - 130 W. Commerce Ave., Floor 1",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
fd Home,"Centers of High Point: Centennial - 113, Floor 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Feizy Rugs,"Market Square - 145, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Fenwick Bartel,"IHFC - IH509, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Fiam Italia,"220 Elm - 328, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Fibre by Auskin,"IHFC - H417, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
FIBREWORKS,"Suites At Market Square - G-7014, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Fine Art Handcrafted Lighting,"IHFC - C229, Commerce, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Fine Home Limited,"Centers of High Point: Hamilton - 025, Lower Level",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Fine Rugs of Charleston,"Suites At Market Square - M-1015, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Finesse Decor,"Market Square - 288, Floor 2",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
fiVO Design,"Showplace - 2317, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Fjords USA,"220 Elm - 314, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Flair Enterprises Inc,"IHFC - W748, Wrenn, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Flash Furniture,"Centers of High Point: Hamilton - 239, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
"Flexsteel Industries, Inc.","IHFC - C558, C602A, Commerce, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
FLIKR Fire,"Suites At Market Square - M-3019, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
FlowDecor,"IHFC - IH612, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
folio21,Holland House - 449 S. Wrenn St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Forever Green Art,"Showplace - 2335, 3331, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
FORM Design Studio by Global Views,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Formpiper,"Plaza Suites - 1-527 #19, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Forty West Designs,"IHFC - W446, Wrenn, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Foster's Point, Inc.","IHFC - D441, Design Center, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Four Hands,"Showplace - 4101, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Four Seasons Furniture,119 E. Green Dr.,Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Francesco Molon,502 N. Hamilton St.,Shuttle Stop: 20 (Red Line),Neighborhood: Hamilton Wrenn
Frank Thomas Art & Design,"IHFC - G261, Green, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Frankie Davidson Lighting and Accents,"Market Square - 138, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Franklin Corporation,"Plaza Suites - 200, Floor 2",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Frederick Cooper,"200 N. Hamilton St. - N Ct 125, Floor 1",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
"French Accents Rugs & Tapestries, Inc.","200 Steele - 112, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
French Interiors,205 Hayden Pl.,Shuttle Stop: 26 (Red Line),Neighborhood: Downtown Main
French Linen Collection,"Market Square - 138, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
French Market Collection,"IHFC - IH300, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Furniture Classics Limited,"Showplace - 2401, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Furniture First,"IHFC - G770, Green, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Furniture Marketing Group (FMG),333 S. Wrenn St. ,Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Furniture of America,"IHFC - C700, W746, Commerce, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Furniture Plaza,Furniture Plaza - 210 S. Main St.,Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Furniture Source International,328 S. Main St.,Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Furniture Today,"National Furniture Mart - 800, Floor 8",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Furniture Wizard,"Plaza Suites - 1-527 #6, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Furniture World Direct,"Atrium on Main - T120, T106, Terrace",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
FurnitureDealer.net,311 S. Elm St.,Shuttle Stop: 4 (Green Line),Neighborhood: Russell & Green
Furug,"Suites At Market Square - M-5020 , Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Fusion Designs,"Radio Building, Floor 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Fusion Furniture,"Plaza Suites - 406, Floor 3",Shuttle Stop: 6 (Green Line),Neighborhood: Downtown Main
Futura Leather,206 E. Green Dr.,Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
G Evans LTD,"Chelsea On Green - A201/ A202, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
G. Romano Inc.,"IHFC - D508, Design Center, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Gabby,333 N. Hamilton St.,Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Gala Collezione,"220 Elm - 204, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Gallery On Main Street,100-112 S. Main St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
GAMMA Arredamenti,"Casa Italia - 130 W. Commerce Ave., Floor 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Generation Lighting,"Commerce & Design - 2A, 2G, Floor 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Geniemode,"IHFC - C609, H643, Commerce, Floor 6",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
George E Shahady Antiques,"Market Square - G-36, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Ghostbed by Nature’s Sleep,"Furniture Plaza - 206, Floor 2",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
GigaCloud Technology,"Plaza Suites - 1-527 #12, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Downtown Main
Gillian Bryce Gallery,"214 Modern Vintage - 314 W. Russell Ave., Floor 1",Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
GJ Styles,212 N. Main St.,Shuttle Stop: 25 (Red Line),Neighborhood: Hamilton Wrenn
Glassisimo,"IHFC - IH208, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Glenda Gies Designs,"Suites At Market Square - M-3025, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Glideaway Sleep Products,"Plaza Suites - 1-557, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Downtown Main
Glitz & Glamour II,"Suites At Market Square - M-4038, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Global Furniture USA,115 S. Hamilton St.,Shuttle Stop: 15 (Red Line),Neighborhood: Commerce Concourse
Global Home USA,"IHFC - D502, Design Center, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Global Sourcing Pavilion,"Suites At Market Square - T-810, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Global Trading Unlimited, Inc.","Market On Main - 233 S. Main St. , Floor 6",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Global Views,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Go Home Ltd./Golden Oldies,"IHFC - D233, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Golden Oldies,310 W. Broad Ave.,Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
Gorini,"Casa Italia - 130 W. Commerce Ave., Floor 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Grain Wood Furniture,"243 S. Main St., 2nd Fl",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Grand Image Home,"IHFC - H220, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Grandview Gallery,"Centers of High Point: Hamilton - 130, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Green Gables,"Atrium on Main - 207, Floor 2",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Greenhouse Fabrics,1116 Foust Ave.,Shuttle Stop: 0 (Go Anywhere Shuttle),
Greenington Fine Bamboo Furniture,"IHFC - H517, Hamilton, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Greentouch Electric Fireplaces,"Furniture Plaza - 306, Floor 3",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
